dataset,model,alpha,warmstart_points,warm_n,warm_mean_iters,warm_median_iters,warm_std_iters,rand_n,rand_mean_iters,rand_median_iters,rand_std_iters,delta_mean_warm_minus_rand,delta_median_warm_minus_rand
P3HT_dataset,GPR,1.0,45,2.0,34.5,34.5,13.5,2.0,51.0,51.0,17.0,-16.5,-16.5
P3HT_dataset,GPR,1.0,47,1.0,42.0,42.0,0.0,1.0,17.0,17.0,0.0,25.0,25.0
P3HT_dataset,GPR,1.0,49,1.0,27.0,27.0,0.0,1.0,30.0,30.0,0.0,-3.0,-3.0
P3HT_dataset,GPR,1.0,50,1.0,45.0,45.0,0.0,1.0,50.0,50.0,0.0,-5.0,-5.0
P3HT_dataset,GPR,1.0,51,1.0,49.0,49.0,0.0,1.0,22.0,22.0,0.0,27.0,27.0
P3HT_dataset,GPR,1.0,54,1.0,3.0,3.0,0.0,1.0,33.0,33.0,0.0,-30.0,-30.0
P3HT_dataset,GPR,1.0,55,1.0,47.0,47.0,0.0,1.0,17.0,17.0,0.0,30.0,30.0
P3HT_dataset,GPR,1.0,58,1.0,32.0,32.0,0.0,1.0,39.0,39.0,0.0,-7.0,-7.0
P3HT_dataset,GPR,1.0,60,1.0,37.0,37.0,0.0,1.0,54.0,54.0,0.0,-17.0,-17.0
P3HT_dataset,GPR,1.0,61,1.0,36.0,36.0,0.0,1.0,52.0,52.0,0.0,-16.0,-16.0
P3HT_dataset,GPR,1.0,62,1.0,5.0,5.0,0.0,1.0,74.0,74.0,0.0,-69.0,-69.0
P3HT_dataset,GPR,1.0,67,1.0,13.0,13.0,0.0,1.0,38.0,38.0,0.0,-25.0,-25.0
P3HT_dataset,GPR,1.0,68,1.0,18.0,18.0,0.0,1.0,50.0,50.0,0.0,-32.0,-32.0
P3HT_dataset,RFR,0.1,27,1.0,100.0,100.0,0.0,1.0,61.0,61.0,0.0,39.0,39.0
P3HT_dataset,RFR,0.1,30,1.0,80.0,80.0,0.0,1.0,102.0,102.0,0.0,-22.0,-22.0
